INSTRUMENT,SYMBOL,Status,Date of Update
FUTSTK,IGL,0,0
FUTSTK,IGL,0,0
FUTSTK,INDHOTEL,0,0
FUTSTK,INDHOTEL,0,0
FUTSTK,INDHOTEL,0,0
FUTSTK,INDIACEM,0,0
FUTSTK,INDIACEM,0,0
FUTSTK,INDIACEM,0,0
FUTSTK,INDIAMART,0,0
FUTSTK,INDIAMART,0,0
FUTSTK,INDIAMART,0,0
FUTSTK,INDIGO,0,0
FUTSTK,INDIGO,0,0
FUTSTK,INDIGO,0,0
FUTSTK,INDUSINDBK,0,0
FUTSTK,INDUSINDBK,0,0
FUTSTK,INDUSINDBK,0,0
FUTSTK,INDUSTOWER,0,0
FUTSTK,INDUSTOWER,0,0
FUTSTK,INDUSTOWER,0,0
FUTSTK,INFY,0,0
FUTSTK,INFY,0,0
FUTSTK,INFY,0,0
FUTSTK,IOC,0,0
FUTSTK,IOC,0,0
FUTSTK,IOC,0,0
FUTSTK,IPCALAB,0,0
FUTSTK,IPCALAB,0,0
FUTSTK,IPCALAB,0,0
FUTSTK,IRCTC,0,0
FUTSTK,IRCTC,0,0
FUTSTK,IRCTC,0,0
FUTSTK,ITC,0,0
FUTSTK,ITC,0,0
FUTSTK,ITC,0,0
FUTSTK,JINDALSTEL,0,0
FUTSTK,JINDALSTEL,0,0
FUTSTK,JINDALSTEL,0,0
FUTSTK,JKCEMENT,0,0
FUTSTK,JKCEMENT,0,0
FUTSTK,JKCEMENT,0,0
FUTSTK,JSWSTEEL,0,0
FUTSTK,JSWSTEEL,0,0
FUTSTK,JSWSTEEL,0,0
FUTSTK,JUBLFOOD,0,0
FUTSTK,JUBLFOOD,0,0
FUTSTK,JUBLFOOD,0,0
FUTSTK,KOTAKBANK,0,0
FUTSTK,KOTAKBANK,0,0
FUTSTK,KOTAKBANK,0,0
FUTSTK,LALPATHLAB,0,0
FUTSTK,LALPATHLAB,0,0
FUTSTK,LALPATHLAB,0,0
FUTSTK,LAURUSLABS,0,0
FUTSTK,LAURUSLABS,0,0
