INSTRUMENT,SYMBOL,EXPIRY_DT,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd
FUTSTK,ASIANPAINT,29-Aug-24,2910.1,2941.7,2902.9,2921.55,2927.8,2919.85,2912.8,2921.55,11946400,2942200,27234,15907739650.0,18761
FUTSTK,ASIANPAINT,26-Sep-24,2926.25,2955.0,2921.0,2940.6,2938.2,2938.65,2912.8,2940.6,190000,30200,426,250237190.0,344
FUTSTK,ASTRAL,25-Jul-24,2222.85,2235.65,2199.55,2203.7,2209.5,2241.1,2199.55,2203.7,533985,-664637,3325,2705610208.3,2659
FUTSTK,ASTRAL,29-Aug-24,2219.55,2239.55,2202.1,2205.5,2208.6,2242.85,2199.55,2205.5,2858196,688125,3850,3136979953.1,3179
FUTSTK,ASTRAL,26-Sep-24,2221.6,2236.45,2208.4,2211.75,2215.1,2236.05,2199.55,2211.75,24956,2569,11,8972012.3,11
FUTSTK,ATUL,25-Jul-24,7281.2,7352.0,7239.45,7296.85,7270.0,7272.25,7310.6,7296.85,202900,-234500,3320,2421686165.0,2807
FUTSTK,ATUL,29-Aug-24,7342.0,7424.25,7283.55,7348.55,7317.65,7322.4,7310.6,7348.55,774800,131800,3870,2842261205.0,3384
FUTSTK,ATUL,26-Sep-24,7399.0,7409.0,7368.85,7393.25,7393.25,7330.95,7310.6,7404.65,8500,400,10,7394275.0,10
FUTSTK,AUBANK,25-Jul-24,657.0,664.75,650.2,661.6,663.5,658.2,659.55,661.6,9851000,-3071000,13748,9040914750.0,12994
FUTSTK,AUBANK,29-Aug-24,641.3,652.45,637.2,650.1,652.25,642.1,659.55,650.1,20829000,5304000,20032,12927564150.0,18079
FUTSTK,AUBANK,26-Sep-24,636.7,645.2,631.9,644.05,645.0,635.4,659.55,644.05,409000,-15000,220,140934400.0,200
FUTSTK,AUROPHARMA,25-Jul-24,1355.15,1365.55,1347.5,1351.9,1351.5,1356.85,1353.7,1351.9,3103650,-2932600,7324,5454686985.0,5162
FUTSTK,AUROPHARMA,29-Aug-24,1362.1,1374.2,1356.35,1360.55,1357.5,1365.9,1353.7,1360.55,11963600,2681250,8211,6155446962.5,5912
FUTSTK,AUROPHARMA,26-Sep-24,1373.0,1380.85,1363.35,1368.45,1368.0,1374.15,1353.7,1368.45,96250,25300,101,76214132.5,91
FUTSTK,AXISBANK,25-Jul-24,1258.35,1267.25,1227.85,1238.1,1237.65,1262.0,1239.25,1238.1,7445000,-9343125,37358,28996242218.75,30867
FUTSTK,AXISBANK,29-Aug-24,1273.9,1275.6,1235.55,1246.15,1246.0,1270.35,1239.25,1246.15,39119375,9398125,55189,43069953343.75,45312
FUTSTK,AXISBANK,26-Sep-24,1274.1,1282.25,1244.8,1255.5,1254.0,1278.0,1239.25,1255.5,167500,37500,428,336936625.0,357
FUTSTK,BAJAJ-AUTO,25-Jul-24,9369.9,9375.05,9244.35,9259.8,9266.0,9384.35,9260.25,9259.8,401100,-626025,12099,8424798738.75,9445
FUTSTK,BAJAJ-AUTO,29-Aug-24,9439.75,9442.35,9308.15,9321.25,9330.25,9445.85,9260.25,9321.25,1681425,551625,13307,9326895123.75,10475
FUTSTK,BAJAJ-AUTO,26-Sep-24,9514.9,9514.9,9278.2,9387.1,9413.25,9514.9,9260.25,9387.1,18525,4875,110,77703225.0,79
FUTSTK,BAJAJFINSV,25-Jul-24,1607.5,1611.7,1560.4,1577.75,1580.65,1616.45,1579.25,1577.75,1705000,-2761000,10105,8001120950.0,8038
FUTSTK,BAJAJFINSV,29-Aug-24,1617.05,1622.55,1569.85,1587.45,1591.0,1626.8,1579.25,1587.45,10761000,3214000,14656,11672987500.0,11761
FUTSTK,BAJAJFINSV,26-Sep-24,1620.7,1634.4,1582.0,1600.25,1605.0,1637.7,1579.25,1600.25,145500,93000,282,226197525.0,249
FUTSTK,BAJFINANCE,25-Jul-24,6631.0,6662.0,6539.55,6602.0,6610.65,6717.05,6607.3,6602.0,2393000,-2614500,36414,29937101181.25,29544
FUTSTK,BAJFINANCE,29-Aug-24,6755.9,6755.9,6582.7,6647.6,6660.0,6761.0,6607.3,6647.6,8482875,3267375,47133,39021200912.5,37300
FUTSTK,BAJFINANCE,26-Sep-24,6751.9,6751.9,6635.0,6700.8,6706.0,6808.3,6607.3,6700.8,240000,91375,1250,1042489056.25,1177
FUTSTK,BALKRISIND,25-Jul-24,3154.1,3170.55,3119.45,3139.1,3148.05,3169.7,3136.4,3139.1,401100,-540300,2673,2525198040.0,2208
FUTSTK,BALKRISIND,29-Aug-24,3181.0,3187.35,3140.0,3157.25,3165.7,3188.8,3136.4,3157.25,1751100,504300,2843,2701904085.0,2324
FUTSTK,BALKRISIND,26-Sep-24,3183.7,3194.35,3168.1,3174.7,3174.7,3206.95,3136.4,3174.7,11100,2700,16,15284835.0,13
FUTSTK,BALRAMCHIN,25-Jul-24,442.5,456.95,441.7,452.7,451.9,444.35,452.55,452.7,1753600,-2108800,3116,2248389200.0,2546
FUTSTK,BALRAMCHIN,29-Aug-24,445.55,459.7,445.55,455.6,455.15,446.6,452.55,455.6,5393600,1313600,3217,2337140240.0,2595
FUTSTK,BALRAMCHIN,26-Sep-24,458.0,459.5,454.6,458.65,458.8,450.0,452.55,458.65,115200,25600,23,16840000.0,23
FUTSTK,BANDHANBNK,25-Jul-24,196.99,198.81,186.3,188.41,188.18,196.08,188.1,188.41,19829600,-40126800,27365,14612650528.0,22259
FUTSTK,BANDHANBNK,29-Aug-24,196.56,199.02,185.89,188.09,188.0,195.39,188.1,188.09,85492400,53813200,36130,19209983380.0,29149
FUTSTK,BANDHANBNK,26-Sep-24,199.65,199.65,187.4,189.49,189.41,189.46,188.1,189.49,2534000,1279600,810,431564000.0,713
FUTSTK,BANKBARODA,25-Jul-24,251.75,252.45,246.3,248.7,249.9,251.25,248.95,248.7,35059050,-55332225,26084,19021984020.0,16012
FUTSTK,BANKBARODA,29-Aug-24,253.55,254.3,247.95,250.35,251.45,253.0,248.95,250.35,133458975,57207150,32005,23478675626.25,21372
FUTSTK,BANKBARODA,26-Sep-24,255.0,255.15,249.95,252.65,253.1,254.65,248.95,252.65,2196675,453375,378,278991911.25,363
FUTSTK,BATAINDIA,25-Jul-24,1566.5,1612.4,1565.0,1601.95,1594.7,1563.15,1602.6,1601.95,556125,-855375,5181,3095044968.75,4464
FUTSTK,BATAINDIA,29-Aug-24,1559.45,1605.0,1557.55,1598.55,1585.55,1557.15,1602.6,1598.55,2823000,1090125,7395,4402701168.75,6585
FUTSTK,BATAINDIA,26-Sep-24,1571.0,1613.6,1571.0,1607.3,1600.0,1566.65,1602.6,1607.3,67500,11625,131,78384243.75,101
FUTSTK,BEL,25-Jul-24,301.3,306.3,298.85,299.8,300.3,301.65,300.1,299.8,31808850,-31352850,18896,16274350725.0,14739
FUTSTK,BEL,29-Aug-24,302.35,307.5,300.0,300.95,301.25,302.8,300.1,300.95,119420700,28377450,21673,18736698570.0,16769
FUTSTK,BEL,26-Sep-24,304.6,309.5,302.3,303.15,303.3,305.05,300.1,303.15,5939400,863550,963,837905272.5,923
FUTSTK,BERGEPAINT,25-Jul-24,525.7,532.75,523.15,530.5,529.3,525.1,529.95,530.5,9097440,-3574560,3811,2661157686.0,2815
FUTSTK,BERGEPAINT,29-Aug-24,523.1,532.55,523.1,530.4,530.5,525.05,529.95,530.4,11062920,3006960,4369,3049960584.0,3322
FUTSTK,BERGEPAINT,26-Sep-24,524.4,532.0,524.0,530.0,530.0,524.4,529.95,530.0,262680,14520,55,38341116.0,45
FUTSTK,BHARATFORG,25-Jul-24,1603.45,1611.0,1584.7,1591.9,1586.4,1596.25,1591.15,1591.9,1593500,-2037500,6308,5035723000.0,5037
FUTSTK,BHARATFORG,29-Aug-24,1601.6,1619.85,1595.35,1601.85,1595.5,1604.9,1591.15,1601.85,6698500,1828500,6488,5208277800.0,5353
FUTSTK,BHARATFORG,26-Sep-24,1618.0,1626.5,1605.0,1610.1,1607.2,1614.85,1591.15,1610.1,71000,11500,70,56446325.0,61
FUTSTK,BHARTIARTL,25-Jul-24,1462.6,1472.05,1432.45,1449.75,1450.1,1463.3,1455.2,1449.75,7399550,-10950175,35546,24453532950.0,20413
FUTSTK,BHARTIARTL,29-Aug-24,1464.75,1474.5,1435.95,1453.55,1453.35,1465.8,1455.2,1453.55,36295225,13150375,41078,28326997115.0,24884
FUTSTK,BHARTIARTL,26-Sep-24,1479.85,1479.9,1444.75,1463.85,1463.0,1475.7,1455.2,1463.85,171950,78850,392,271596165.0,358
FUTSTK,BHEL,25-Jul-24,307.65,313.0,306.4,309.45,309.25,307.9,309.15,309.45,21254625,-16177875,11749,9546353381.25,9356
FUTSTK,BHEL,29-Aug-24,309.6,314.8,308.2,311.15,311.0,309.6,309.15,311.15,55306125,14700000,12336,10077465168.75,9871
FUTSTK,BHEL,26-Sep-24,311.7,316.5,310.7,313.4,313.5,311.85,309.15,313.4,2357250,131250,224,184379081.25,212
FUTSTK,BIOCON,25-Jul-24,337.3,349.4,335.75,348.25,347.95,336.45,348.0,348.25,11252500,-15255000,8695,7432686625.0,6856
FUTSTK,BIOCON,29-Aug-24,338.4,351.8,337.95,350.55,350.4,338.8,348.0,350.55,36877500,14515000,10151,8748412625.0,7911
