Time,CE_OI,CE_CHNG_IN_OI,CE_Volume,CE_IV,CE_LTP,CE_CHNG,CE_BID_QTY,CE_BID_PRICE,CE_ASK_PRICE,CE_ASK_QTY,strikePrice,PE_CHNG_IN_OI,PE_Volume,PE_IV,PE_LTP,PE_CHNG,PE_BID_QTY,PE_BID_PRICE,PE_ASK_PRICE,PE_ASK_QTY,PE_OI,Nifty Current Price,COI_by_Volume_Call,COI_by_Volume_Put
09:23:12 AM,9708,297,5181,5.5,238.25,-25.0,50,237.8,238.3,600,19250,2989,42550,12.31,37.35,4.649999999999999,2400,37.25,37.35,4100,62069,19452.85,2.8662420382165603,3.512338425381904
09:23:12 AM,21556,2176,17193,7.32,201.4,-24.5,750,201.35,201.7,200,19300,5303,85824,12.29,49.65,6.399999999999999,4150,49.6,49.75,2150,80797,19452.85,6.328156808003257,3.0894621551081283
09:23:12 AM,9896,2997,12118,8.23,165.55,-22.099999999999994,200,165.5,165.8,50,19350,6455,57185,12.28,63.8,7.699999999999996,3350,63.7,63.8,100,39953,19452.85,12.365901964020466,5.643962577599021
09:23:12 AM,63052,15265,88386,8.33,137.4,-17.75,150,137.4,137.7,100,19400,17961,158775,12.29,78.95,6.650000000000006,600,78.75,78.95,1500,122007,19452.85,8.63541737379223,5.656117146905999
09:23:12 AM,57937,25740,97397,8.66,104.1,-21.40000000000001,150,104.15,104.35,150,19450,12295,93225,12.3,103.5,11.25,1700,103.25,103.5,450,47843,19452.85,13.213959362198016,6.594261196031108
09:23:12 AM,114761,12772,161129,8.7,82.6,-15.550000000000011,1300,82.55,82.75,1200,19500,6397,90495,12.5,124.0,9.049999999999995,100,124.1,124.3,250,93278,19452.85,3.963284076733549,3.534449417094867
09:23:12 AM,35550,11058,60526,8.84,59.0,-15.849999999999994,150,58.9,59.0,2850,19550,1404,12737,12.71,158.25,16.650000000000006,100,158.3,158.55,100,7778,19452.85,9.13491722565509,5.511501923529873
09:23:12 AM,64590,7371,88073,8.88,44.85,-10.799999999999995,750,44.75,44.85,1400,19600,3055,13446,12.72,192.15,19.90000000000001,100,192.15,192.5,300,13301,19454.8,4.184596868506807,11.360255838167484
09:23:12 AM,70515,829,49464,8.95,30.35,-9.4,750,30.25,30.35,4450,19650,336,2419,13.45,228.3,21.100000000000023,50,228.4,228.75,150,4164,19452.85,0.8379831796862365,6.945018602728401
09:23:12 AM,58131,5751,70864,9.12,21.85,-6.899999999999999,1800,21.9,21.95,4500,19700,301,3475,13.77,263.25,18.05000000000001,100,263.35,264.05,200,6790,19454.8,4.057772634906299,4.330935251798561
09:23:12 AM,32849,9642,43252,9.27,14.45,-5.550000000000001,7900,14.35,14.45,12950,19750,89,268,14.98,313.65,28.44999999999999,250,312.45,312.8,50,472,19452.85,11.146305373161937,16.6044776119403
09:23:12 AM,56636,8971,78318,9.43,10.35,-3.35,400,10.3,10.35,15850,19800,37,674,15.65,352.0,21.75,50,352.6,353.4,100,2176,19452.85,5.727291299573533,2.744807121661721
09:23:12 AM,41249,3753,50184,9.61,6.85,-2.450000000000001,5900,6.8,6.85,16750,19850,0,0,0.0,0.0,0.0,50,405.5,408.25,50,110,19452.85,3.739239598278336,
09:23:12 AM,73602,15027,79844,9.87,4.95,-1.3999999999999997,22250,4.9,4.95,5450,19900,11,89,17.48,458.2,35.69999999999999,100,447.0,448.55,700,316,19452.85,9.410224938630328,6.179775280898876
