Datetime,close CE,volume CE,oi CE,COI CE,COP CE,Conclusion CE,close PE,volume PE,oi PE,COI PE,COP PE,Conclusion PE,Bullishness CE,Bullishness PE,Over All Bullishness,Cumulative Bullishness,LB CE,SB CE,LC CE,SC CE,LB PE,SB PE,LC PE,SC PE,Net_SB_call,Net_SB_put,Cumulative SB call,Cumulative SB put
30-01: 14:51,126.65,3900.0,111150.0,-100.0,1.6500000000000057,SC,456.5,0.0,27500.0,0,0.0,0,100.0,0.0,100.0,-26250,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,0.0,-100.0,0.0,29450,3200
30-01: 14:53,118.4,1950.0,111150.0,0.0,-8.25,0,469.8,50.0,27300.0,-200,13.300000000000011,SC,0.0,-200.0,-200.0,-26450,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-200.0,0.0,-200.0,29450,3000
30-01: 14:54,119.0,3700.0,111950.0,800.0,0.5999999999999943,LB,470.25,350.0,27300.0,0,0.4499999999999886,0,0.0,0.0,0.0,-26450,800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29450,3000
30-01: 14:57,118.1,650.0,112950.0,1000.0,-0.9000000000000057,SB,471.2,0.0,27300.0,0,0.9499999999999886,0,-1000.0,0.0,-1000.0,-27450,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,30450,3000
30-01: 15:00,118.0,4100.0,113650.0,700.0,-0.0999999999999943,SB,470.25,750.0,27200.0,-100,-0.9499999999999886,LC,-700.0,-0.0,-700.0,-28150,0.0,700.0,0.0,0.0,0.0,0.0,-100.0,0.0,700.0,0.0,31150,3000
30-01: 15:03,112.15,5500.0,113600.0,-50.0,-5.849999999999994,LC,481.45,500.0,27050.0,-150,11.199999999999989,SC,-0.0,-150.0,-150.0,-28300,0.0,0.0,-50.0,0.0,0.0,0.0,0.0,-150.0,0.0,-150.0,31150,2850
30-01: 15:06,105.9,2950.0,114050.0,450.0,-6.25,SB,496.85,0.0,27050.0,0,15.400000000000034,0,-450.0,0.0,-450.0,-28750,0.0,450.0,0.0,0.0,0.0,0.0,0.0,0.0,450.0,0.0,31600,2850
30-01: 15:07,106.1,1700.0,114050.0,0.0,0.1999999999999886,0,496.75,50.0,26950.0,-100,-0.1000000000000227,LC,0.0,-0.0,0.0,-28750,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,31600,2850
30-01: 15:09,107.2,500.0,115450.0,1400.0,1.1000000000000083,LB,497.55,0.0,26950.0,0,0.8000000000000114,0,0.0,0.0,0.0,-28750,1400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31600,2850
30-01: 15:10,108.8,1700.0,115450.0,0.0,1.5999999999999943,0,501.4,100.0,27000.0,50,3.849999999999966,LB,0.0,0.0,0.0,-28750,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,31600,2850
30-01: 15:12,110.45,5600.0,117100.0,1650.0,1.6500000000000057,LB,501.4,0.0,27000.0,0,0.0,0,0.0,0.0,0.0,-28750,1650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31600,2850
30-01: 15:13,112.45,7500.0,117100.0,0.0,2.0,0,493.25,650.0,26900.0,-100,-8.149999999999977,LC,0.0,-0.0,0.0,-28750,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,31600,2850
30-01: 15:15,114.65,2000.0,120050.0,2950.0,2.200000000000003,LB,474.9,50.0,26900.0,0,-18.350000000000023,0,0.0,0.0,0.0,-28750,2950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31600,2850
