Date,Time,close CE,volume CE,oi CE,COI CE,COP CE,Conclusion CE,close PE,volume PE,oi PE,COI PE,COP PE,Conclusion PE,Bullishness CE,Bullishness PE,Over All Bullishness,Cumulative Bullishness,LB CE,SB CE,LC CE,SC CE,LB PE,SB PE,LC PE,SC PE,Net_SB_call,Net_SB_put,Cumulative SB call,Cumulative SB put
2024-02-09,10:04,120.4,120950,1199400,22150,10.350000000000009,LB,238.2,30900,639850,13200,-31.44999999999999,SB,0.0,13200.0,13200.0,-287400,22150.0,0.0,0.0,0.0,0.0,13200.0,0.0,0.0,0.0,13200.0,355150,67750
2024-02-09,10:07,123.65,121100,1236100,36700,3.25,LB,233.95,20900,643350,3500,-4.25,SB,0.0,3500.0,3500.0,-283900,36700.0,0.0,0.0,0.0,0.0,3500.0,0.0,0.0,0.0,3500.0,355150,71250
2024-02-09,10:10,128.9,138100,1230900,-5200,5.25,SC,220.3,55950,636600,-6750,-13.649999999999975,LC,5200.0,-0.0,5200.0,-278700,0.0,0.0,0.0,-5200.0,0.0,0.0,-6750.0,0.0,-5200.0,0.0,349950,71250
2024-02-09,10:13,130.8,52250,1225850,-5050,1.9000000000000057,SC,218.55,22600,638900,2300,-1.75,SB,5050.0,2300.0,7350.0,-271350,0.0,0.0,0.0,-5050.0,0.0,2300.0,0.0,0.0,-5050.0,2300.0,344900,73550
2024-02-09,10:16,126.5,145400,1223150,-2700,-4.300000000000011,LC,224.65,131700,626550,-12350,6.099999999999994,SC,-0.0,-12350.0,-12350.0,-283700,0.0,0.0,-2700.0,0.0,0.0,0.0,0.0,-12350.0,0.0,-12350.0,344900,61200
2024-02-09,10:19,134.2,100800,1247300,24150,7.699999999999989,LB,213.9,63700,649700,23150,-10.75,SB,0.0,23150.0,23150.0,-260550,24150.0,0.0,0.0,0.0,0.0,23150.0,0.0,0.0,0.0,23150.0,344900,84350
2024-02-09,10:22,130.45,51850,1283750,36450,-3.75,SB,217.45,15850,661850,12150,3.549999999999983,LB,-36450.0,0.0,-36450.0,-297000,0.0,36450.0,0.0,0.0,12150.0,0.0,0.0,0.0,36450.0,0.0,381350,84350
2024-02-09,10:25,124.2,120250,1295650,11900,-6.249999999999986,SB,228.85,97750,659500,-2350,11.400000000000006,SC,-11900.0,-2350.0,-14250.0,-311250,0.0,11900.0,0.0,0.0,0.0,0.0,0.0,-2350.0,11900.0,-2350.0,393250,82000
2024-02-09,10:28,123.7,52150,1301200,5550,-0.5,SB,228.15,18550,665850,6350,-0.6999999999999886,SB,-5550.0,6350.0,800.0,-310450,0.0,5550.0,0.0,0.0,0.0,6350.0,0.0,0.0,5550.0,6350.0,398800,88350
2024-02-09,10:31,118.75,60050,1321500,20300,-4.950000000000003,SB,237.55,30700,681850,16000,9.400000000000006,LB,-20300.0,0.0,-20300.0,-330750,0.0,20300.0,0.0,0.0,16000.0,0.0,0.0,0.0,20300.0,0.0,419100,88350
2024-02-09,10:34,123.35,101750,1328900,7400,4.599999999999994,LB,225.75,35950,680050,-1800,-11.800000000000011,LC,0.0,-0.0,0.0,-330750,7400.0,0.0,0.0,0.0,0.0,0.0,-1800.0,0.0,0.0,0.0,419100,88350
2024-02-09,10:37,117.85,28850,1344450,15550,-5.5,SB,236.3,11300,684050,4000,10.550000000000011,LB,-15550.0,0.0,-15550.0,-346300,0.0,15550.0,0.0,0.0,4000.0,0.0,0.0,0.0,15550.0,0.0,434650,88350
2024-02-09,10:40,118.35,48850,1340850,-3600,0.5,SC,232.55,17900,688900,4850,-3.75,SB,3600.0,4850.0,8450.0,-337850,0.0,0.0,0.0,-3600.0,0.0,4850.0,0.0,0.0,-3600.0,4850.0,431050,93200
2024-02-09,10:43,114.5,28850,1337200,-3650,-3.8499999999999934,LC,238.4,12200,688350,-550,5.849999999999994,SC,-0.0,-550.0,-550.0,-338400,0.0,0.0,-3650.0,0.0,0.0,0.0,0.0,-550.0,0.0,-550.0,431050,92650
2024-02-09,10:46,112.65,107100,1337150,-50,-1.8499999999999943,LC,245.9,34800,681350,-7000,7.5,SC,-0.0,-7000.0,-7000.0,-345400,0.0,0.0,-50.0,0.0,0.0,0.0,0.0,-7000.0,0.0,-7000.0,431050,85650
2024-02-09,10:49,111.75,65200,1326200,-10950,-0.9000000000000057,LC,244.8,21650,672200,-9150,-1.0999999999999943,LC,-0.0,-0.0,-0.0,-345400,0.0,0.0,-10950.0,0.0,0.0,0.0,-9150.0,0.0,0.0,0.0,431050,85650
2024-02-09,10:52,105.55,80800,1310100,-16100,-6.200000000000003,LC,257.2,17650,655950,-16250,12.399999999999975,SC,-0.0,-16250.0,-16250.0,-361650,0.0,0.0,-16100.0,0.0,0.0,0.0,0.0,-16250.0,0.0,-16250.0,431050,69400
2024-02-09,10:55,101.15,150700,1330450,20350,-4.399999999999992,SB,271.3,108600,661950,6000,14.100000000000025,LB,-20350.0,0.0,-20350.0,-382000,0.0,20350.0,0.0,0.0,6000.0,0.0,0.0,0.0,20350.0,0.0,451400,69400
2024-02-09,10:58,103.35,85100,1318700,-11750,2.1999999999999886,SC,265.0,20600,626300,-35650,-6.300000000000011,LC,11750.0,-0.0,11750.0,-370250,0.0,0.0,0.0,-11750.0,0.0,0.0,-35650.0,0.0,-11750.0,0.0,439650,69400
2024-02-09,11:01,104.0,94900,1346650,27950,0.6500000000000057,LB,267.75,24600,626400,100,2.75,LB,0.0,0.0,0.0,-370250,27950.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,439650,69400
2024-02-09,11:04,95.4,149250,1377850,31200,-8.599999999999994,SB,300.0,45950,621850,-4550,32.25,SC,-31200.0,-4550.0,-35750.0,-406000,0.0,31200.0,0.0,0.0,0.0,0.0,0.0,-4550.0,31200.0,-4550.0,470850,64850
2024-02-09,11:07,93.3,85900,1408100,30250,-2.1000000000000085,SB,297.05,17850,611350,-10500,-2.9499999999999886,LC,-30250.0,-0.0,-30250.0,-436250,0.0,30250.0,0.0,0.0,0.0,0.0,-10500.0,0.0,30250.0,0.0,501100,64850
2024-02-09,11:10,99.8,68750,1436100,28000,6.5,LB,275.0,14700,608650,-2700,-22.05000000000001,LC,0.0,-0.0,0.0,-436250,28000.0,0.0,0.0,0.0,0.0,0.0,-2700.0,0.0,0.0,0.0,501100,64850
2024-02-09,11:13,102.1,75550,1392150,-43950,2.299999999999997,SC,266.15,21500,588750,-19900,-8.850000000000023,LC,43950.0,-0.0,43950.0,-392300,0.0,0.0,0.0,-43950.0,0.0,0.0,-19900.0,0.0,-43950.0,0.0,457150,64850
2024-02-09,11:16,98.8,103100,1395750,3600,-3.299999999999997,SB,272.1,28300,590550,1800,5.9500000000000455,LB,-3600.0,0.0,-3600.0,-395900,0.0,3600.0,0.0,0.0,1800.0,0.0,0.0,0.0,3600.0,0.0,460750,64850
2024-02-09,11:19,102.25,61150,1402550,6800,3.450000000000003,LB,261.2,7100,596100,5550,-10.900000000000034,SB,0.0,5550.0,5550.0,-390350,6800.0,0.0,0.0,0.0,0.0,5550.0,0.0,0.0,0.0,5550.0,460750,70400
2024-02-09,11:22,96.15,56200,1417000,14450,-6.099999999999994,SB,277.4,10400,594450,-1650,16.19999999999999,SC,-14450.0,-1650.0,-16100.0,-406450,0.0,14450.0,0.0,0.0,0.0,0.0,0.0,-1650.0,14450.0,-1650.0,475200,68750
2024-02-09,11:25,95.95,49450,1410150,-6850,-0.2000000000000028,LC,280.35,13850,595650,1200,2.950000000000045,LB,-0.0,0.0,0.0,-406450,0.0,0.0,-6850.0,0.0,1200.0,0.0,0.0,0.0,0.0,0.0,475200,68750
2024-02-09,11:28,96.3,103000,1419350,9200,0.3499999999999943,LB,277.95,15250,590050,-5600,-2.400000000000034,LC,0.0,-0.0,0.0,-406450,9200.0,0.0,0.0,0.0,0.0,0.0,-5600.0,0.0,0.0,0.0,475200,68750
2024-02-09,11:31,98.95,72100,1387700,-31650,2.6500000000000057,SC,267.8,15700,585300,-4750,-10.149999999999975,LC,31650.0,-0.0,31650.0,-374800,0.0,0.0,0.0,-31650.0,0.0,0.0,-4750.0,0.0,-31650.0,0.0,443550,68750
2024-02-09,11:34,103.05,59300,1403400,15700,4.099999999999994,LB,256.8,16400,591050,5750,-11.0,SB,0.0,5750.0,5750.0,-369050,15700.0,0.0,0.0,0.0,0.0,5750.0,0.0,0.0,0.0,5750.0,443550,74500
2024-02-09,11:37,104.0,85800,1391950,-11450,0.9500000000000028,SC,253.1,12450,591700,650,-3.700000000000017,SB,11450.0,650.0,12100.0,-356950,0.0,0.0,0.0,-11450.0,0.0,650.0,0.0,0.0,-11450.0,650.0,432100,75150
2024-02-09,11:40,117.85,211650,1365650,-26300,13.849999999999994,SC,232.3,25150,595150,3450,-20.799999999999983,SB,26300.0,3450.0,29750.0,-327200,0.0,0.0,0.0,-26300.0,0.0,3450.0,0.0,0.0,-26300.0,3450.0,405800,78600
2024-02-09,11:43,114.2,97000,1351000,-14650,-3.649999999999992,LC,236.15,19050,604950,9800,3.8499999999999934,LB,-0.0,0.0,0.0,-327200,0.0,0.0,-14650.0,0.0,9800.0,0.0,0.0,0.0,0.0,0.0,405800,78600
2024-02-09,11:46,115.0,68150,1355750,4750,0.7999999999999972,LB,237.0,15400,592750,-12200,0.8499999999999943,SC,0.0,-12200.0,-12200.0,-339400,4750.0,0.0,0.0,0.0,0.0,0.0,0.0,-12200.0,0.0,-12200.0,405800,66400
2024-02-09,11:49,122.55,143700,1331300,-24450,7.549999999999997,SC,225.25,25350,594700,1950,-11.75,SB,24450.0,1950.0,26400.0,-313000,0.0,0.0,0.0,-24450.0,0.0,1950.0,0.0,0.0,-24450.0,1950.0,381350,68350
2024-02-09,11:52,120.9,55150,1286050,-45250,-1.6499999999999917,LC,226.75,9700,609600,14900,1.5,LB,-0.0,0.0,0.0,-313000,0.0,0.0,-45250.0,0.0,14900.0,0.0,0.0,0.0,0.0,0.0,381350,68350
2024-02-09,11:55,118.85,49450,1269050,-17000,-2.050000000000012,LC,230.75,8000,608050,-1550,4.0,SC,-0.0,-1550.0,-1550.0,-314550,0.0,0.0,-17000.0,0.0,0.0,0.0,0.0,-1550.0,0.0,-1550.0,381350,66800
2024-02-09,11:58,118.4,43350,1275500,6450,-0.4499999999999886,SB,230.05,11600,615900,7850,-0.6999999999999886,SB,-6450.0,7850.0,1400.0,-313150,0.0,6450.0,0.0,0.0,0.0,7850.0,0.0,0.0,6450.0,7850.0,387800,74650
2024-02-09,12:01,123.55,191050,1281650,6150,5.149999999999992,LB,223.0,44800,618150,2250,-7.050000000000011,SB,0.0,2250.0,2250.0,-310900,6150.0,0.0,0.0,0.0,0.0,2250.0,0.0,0.0,0.0,2250.0,387800,76900
2024-02-09,12:04,120.0,70250,1283550,1900,-3.549999999999997,SB,227.45,16900,616800,-1350,4.449999999999989,SC,-1900.0,-1350.0,-3250.0,-314150,0.0,1900.0,0.0,0.0,0.0,0.0,0.0,-1350.0,1900.0,-1350.0,389700,75550
2024-02-09,12:07,122.3,34400,1278950,-4600,2.299999999999997,SC,224.8,9050,612200,-4600,-2.6499999999999773,LC,4600.0,-0.0,4600.0,-309550,0.0,0.0,0.0,-4600.0,0.0,0.0,-4600.0,0.0,-4600.0,0.0,385100,75550
