Datetime,close,volume,oi,COI,COP,Bulidup Conclusion Fut,LB,SB,LC,SC,Net LB,Net SB,Cumulative LB,Cumulative SB
21-11: 13:45,19860.0,44650,10283950,7600,-6.450000000000728,SB,0.0,7600.0,0.0,0.0,0.0,7600.0,1582900,4475800
21-11: 14:00,19850.05,63400,10294300,10350,-9.950000000000728,SB,0.0,10350.0,0.0,0.0,0.0,10350.0,1582900,4486150
21-11: 14:15,19843.7,42850,10303650,9350,-6.349999999998545,SB,0.0,9350.0,0.0,0.0,0.0,9350.0,1582900,4495500
21-11: 14:30,19855.5,109300,10321300,17650,11.799999999999272,LB,17650.0,0.0,0.0,0.0,17650.0,0.0,1600550,4495500
21-11: 14:45,19851.65,61400,10346350,25050,-3.849999999998545,SB,0.0,25050.0,0.0,0.0,0.0,25050.0,1600550,4520550
21-11: 15:00,19841.05,128450,10374900,28550,-10.600000000002183,SB,0.0,28550.0,0.0,0.0,0.0,28550.0,1600550,4549100
21-11: 15:15,19842.0,359450,10374050,-850,0.9500000000007276,SC,0.0,0.0,0.0,-850.0,0.0,-850.0,1600550,4548250
22-11: 09:15,19845.1,220900,10253450,-120600,3.099999999998545,SC,0.0,0.0,0.0,-120600.0,0.0,-120600.0,1600550,4427650
22-11: 09:30,19857.9,97450,10261500,8050,12.80000000000291,LB,8050.0,0.0,0.0,0.0,8050.0,0.0,1608600,4427650
22-11: 09:45,19867.0,173600,10277700,16200,9.099999999998545,LB,16200.0,0.0,0.0,0.0,16200.0,0.0,1624800,4427650
22-11: 10:00,19871.55,67000,10283300,5600,4.549999999999272,LB,5600.0,0.0,0.0,0.0,5600.0,0.0,1630400,4427650
22-11: 10:15,19863.9,110650,10289800,6500,-7.649999999997817,SB,0.0,6500.0,0.0,0.0,0.0,6500.0,1630400,4434150
22-11: 10:30,19872.7,59400,10281200,-8600,8.799999999999272,SC,0.0,0.0,0.0,-8600.0,0.0,-8600.0,1630400,4425550
22-11: 10:45,19863.4,69950,10281000,-200,-9.299999999999272,LC,0.0,0.0,-200.0,0.0,-200.0,0.0,1630200,4425550
22-11: 11:00,19862.2,75150,10291300,10300,-1.2000000000007276,SB,0.0,10300.0,0.0,0.0,0.0,10300.0,1630200,4435850
22-11: 11:15,19853.0,50850,10293550,2250,-9.200000000000728,SB,0.0,2250.0,0.0,0.0,0.0,2250.0,1630200,4438100
22-11: 11:30,19847.0,69000,10302900,9350,-6.0,SB,0.0,9350.0,0.0,0.0,0.0,9350.0,1630200,4447450
22-11: 11:45,19832.1,323750,10386550,83650,-14.900000000001455,SB,0.0,83650.0,0.0,0.0,0.0,83650.0,1630200,4531100
22-11: 12:00,19822.0,114150,10411300,24750,-10.099999999998545,SB,0.0,24750.0,0.0,0.0,0.0,24750.0,1630200,4555850
22-11: 12:15,19765.0,489550,10457950,46650,-57.0,SB,0.0,46650.0,0.0,0.0,0.0,46650.0,1630200,4602500
22-11: 12:30,19796.0,176650,10443700,-14250,31.0,SC,0.0,0.0,0.0,-14250.0,0.0,-14250.0,1630200,4588250
22-11: 12:45,19792.0,71750,10449750,6050,-4.0,SB,0.0,6050.0,0.0,0.0,0.0,6050.0,1630200,4594300
22-11: 13:00,19807.0,86750,10441150,-8600,15.0,SC,0.0,0.0,0.0,-8600.0,0.0,-8600.0,1630200,4585700
22-11: 13:15,19812.1,70800,10450100,8950,5.099999999998545,LB,8950.0,0.0,0.0,0.0,8950.0,0.0,1639150,4585700
22-11: 13:30,19807.0,90800,10438150,-11950,-5.099999999998545,LC,0.0,0.0,-11950.0,0.0,-11950.0,0.0,1627200,4585700
22-11: 13:45,19798.0,55500,10439550,1400,-9.0,SB,0.0,1400.0,0.0,0.0,0.0,1400.0,1627200,4587100
22-11: 14:00,19794.0,47350,10443600,4050,-4.0,SB,0.0,4050.0,0.0,0.0,0.0,4050.0,1627200,4591150
22-11: 14:15,19845.75,210400,10459750,16150,51.75,LB,16150.0,0.0,0.0,0.0,16150.0,0.0,1643350,4591150
22-11: 14:30,19875.5,428850,10668200,208450,29.75,LB,208450.0,0.0,0.0,0.0,208450.0,0.0,1851800,4591150
22-11: 14:45,19877.0,245400,10696050,27850,1.5,LB,27850.0,0.0,0.0,0.0,27850.0,0.0,1879650,4591150
22-11: 15:00,19881.1,269700,10698050,2000,4.099999999998545,LB,2000.0,0.0,0.0,0.0,2000.0,0.0,1881650,4591150
22-11: 15:15,19886.6,386550,10706500,8450,5.5,LB,8450.0,0.0,0.0,0.0,8450.0,0.0,1890100,4591150
