Date,Time,open,high,low,close,EMA 9,Recorded EMA9,Delta,EMA 21,Recorded EMA 21,DELTA,EMA 50,Recorded EMA 50,DELTA,EMA 200,Recorded EMA 200,DELTA,,0.2
01-08-2023,14:02,348.2,348.2,348.2,348.2,349.8836281,,,350.6767156,,,347.3147262,,,342.2825805,,,,
01-08-2023,14:03,348.2,348.2,348.2,348.2,349.5469025,,,350.4515599,,,347.3494431,,,342.3414588,,,,
01-08-2023,14:04,348.2,348.2,348.2,348.2,349.277522,,,350.2468728,,,347.3827986,,,342.3997513,,,,
01-08-2023,14:05,348.2,348.2,348.2,348.2,349.0620176,,,350.0607937,,,347.4148459,,,342.4574638,,,,
01-08-2023,14:06,348.2,348.2,348.2,348.2,348.8896141,,,349.8916308,,,347.4456365,,,342.514602,,,,
01-08-2023,14:07,348.2,348.2,348.2,348.2,348.7516913,,,349.7378463,,,347.4752197,,,342.5711718,,,,
01-08-2023,14:08,348.2,348.2,348.2,348.2,348.641353,,,349.5980422,,,347.5036426,,,342.6271786,,,,
01-08-2023,14:09,348.2,348.2,348.2,348.2,348.5530824,,,349.4709476,,,347.530951,,,342.6826282,,,,
01-08-2023,14:10,348.2,348.2,348.2,348.2,348.4824659,,,349.355407,,,347.5571884,,,342.737526,,,,
01-08-2023,14:11,348.2,348.2,335.2,338,346.3859727,,,348.3230983,,,347.1823937,,,342.6903876,,,,
01-08-2023,14:12,338,338,338,338,344.7087782,,,347.3846358,,,346.822297,,,342.6437183,,,,
01-08-2023,14:13,338,338,338,338,343.3670226,,,346.5314879,,,346.4763218,,,342.5975133,,,,
01-08-2023,14:14,338,338,338,338,342.293618,,,345.7558989,,,346.1439143,,,342.551768,,,,
01-08-2023,14:15,338,338,338,338,341.4348944,,,345.0508179,,,345.8245426,,,342.5064779,,,,
01-08-2023,14:16,338,338,338,338,340.7479155,,,344.4098351,,,345.5176953,,,342.4616385,,,,
01-08-2023,14:17,338,338,338,338,340.1983324,,,343.8271234,,,345.2228814,,,342.4172452,,,,
01-08-2023,14:18,338,338,338,338,339.758666,,,343.2973854,,,344.9396289,,,342.3732936,,,,
01-08-2023,14:19,338,343.85,338,343.85,340.5769328,,,343.3476231,,,344.896898,,,342.3879868,,,,
01-08-2023,14:20,343.85,346.05,343.85,346.05,341.6715462,,,343.5932935,,,344.942118,,,342.4244238,,,,
01-08-2023,14:21,346.05,349,346.05,349,343.137237,,,344.0848117,,,345.1012519,,,342.4898508,,,,
01-08-2023,14:22,349,349,349,349,344.3097896,,,344.5316466,,,345.2541452,,,342.5546268,,,,
01-08-2023,14:23,349,349,349,349,345.2478317,,,344.9378601,,,345.4010427,,,342.6187583,,,,
01-08-2023,14:24,349,349,349,349,345.9982653,,,345.3071452,,,345.5421794,,,342.6822516,,,,
01-08-2023,14:25,349,349,349,349,346.5986123,,,345.6428589,,,345.6777813,,,342.7451132,,,,
01-08-2023,14:26,349,349,349,349,347.0788898,,,345.9480533,,,345.8080654,,,342.8073493,,,,
01-08-2023,14:27,349,352.45,349,352.45,348.1531118,,,346.5391387,,,346.0685355,,,342.9032937,,,,
01-08-2023,14:28,352.45,352.45,352.45,352.45,349.0124895,,,347.0764892,,,346.318791,,,342.9982834,,,,
01-08-2023,14:29,352.45,352.45,352.45,352.45,349.6999916,,,347.5649897,,,346.5592325,,,343.092328,,,,
01-08-2023,14:30,352.45,354.55,352.45,354.55,350.6699933,,,348.19999,,,346.8725985,,,343.2063319,,,,
01-08-2023,14:31,354.55,354.55,354.55,354.55,351.4459946,,,348.7772631,,,347.1736754,,,343.3192014,,,,
01-08-2023,14:32,354.55,354.55,351.55,351.55,351.4667957,,,349.0293298,,,347.3452974,,,343.4010978,,,,
01-08-2023,14:33,351.55,351.55,351.55,351.55,351.4834366,,,349.2584814,,,347.510189,,,343.4821794,,,,
01-08-2023,14:34,351.55,351.55,351.55,351.55,351.4967492,,,349.4668011,,,347.6686142,,,343.5624542,,,,
01-08-2023,14:35,351.55,351.55,351.55,351.55,351.5073994,,,349.6561826,,,347.8208267,,,343.6419303,,,,
01-08-2023,14:36,351.55,351.55,351.55,351.55,351.5159195,,,349.8283477,,,347.9670699,,,343.7206156,,,,
01-08-2023,14:37,351.55,351.55,351.55,351.55,351.5227356,,,349.9848614,,,348.1075781,,,343.798518,,,,
01-08-2023,14:38,351.55,351.55,351.55,351.55,351.5281885,,,350.1271465,,,348.2425761,,,343.8756452,,,,
01-08-2023,14:39,351.55,351.55,351.55,351.55,351.5325508,,,350.2564967,,,348.3722801,,,343.952005,,,,
01-08-2023,14:40,351.55,351.55,351.55,351.55,351.5360406,,,350.3740878,,,348.4968975,,,344.0276051,,,,
01-08-2023,14:41,351.55,351.55,351.55,351.55,351.5388325,,,350.4809888,,,348.616628,,,344.1024529,,,,
01-08-2023,14:42,351.55,351.55,351.55,351.55,351.541066,,,350.5781716,,,348.7316631,,,344.176556,,,,
01-08-2023,14:43,351.55,351.55,351.55,351.55,351.5428528,,,350.6665195,,,348.842187,,,344.2499218,,,,
01-08-2023,14:44,351.55,351.55,351.55,351.55,351.5442822,,,350.7468358,,,348.9483766,,,344.3225575,,,,
01-08-2023,14:45,351.55,351.55,348.7,348.7,350.9754258,,,350.56076,,,348.9386363,,,344.3661131,,,,
01-08-2023,14:46,348.7,348.7,348.2,348.2,350.4203406,,,350.3461457,,,348.9096699,,,344.4042603,,,,
01-08-2023,14:47,348.2,348.2,348.2,348.2,349.9762725,,,350.1510417,,,348.8818395,,,344.4420279,,,,
01-08-2023,14:48,348.2,348.2,348.2,348.2,349.621018,,,349.9736745,,,348.8551005,,,344.4794197,,,,
01-08-2023,14:49,348.2,348.2,347.1,347.1,349.1168144,,,349.7124316,,,348.7862724,,,344.5054945,,,,
01-08-2023,14:50,347.1,347.1,347.1,347.1,348.7134515,,,349.4749381,,,348.7201436,,,344.5313098,,,,
01-08-2023,14:51,347.1,347.1,347.1,347.1,348.3907612,,,349.2590348,,,348.656608,,,344.5568683,,,,
01-08-2023,14:52,347.1,347.1,347.1,347.1,348.132609,,,349.0627591,,,348.5955641,,,344.5821724,,,,
01-08-2023,14:53,347.1,347.1,347.1,347.1,347.9260872,,,348.8843267,,,348.5369141,,,344.6072248,,,,
01-08-2023,14:54,347.1,347.1,347.1,347.1,347.7608697,,,348.7221153,,,348.480564,,,344.6320279,,,,
01-08-2023,14:55,347.1,347.1,347.1,347.1,347.6286958,,,348.5746504,,,348.4264238,,,344.6565843,,,,
01-08-2023,14:56,347.1,347.1,347.1,347.1,347.5229566,,,348.4405914,,,348.3744068,,,344.6808962,,,,
01-08-2023,14:57,347.1,347.1,347.1,347.1,347.4383653,,,348.3187196,,,348.3244297,,,344.7049663,,,,
